Date : 2023-12-03 17:24:27
Directory : c:\xampp\htdocs\formshub_app
Total : 525 files,  61418 codes, 7296 comments, 9998 blanks, all 78712 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| public\images\survey_types\Arabic                                                                             |          1 |          7 |          0 |          0 |          7 |
| public\images\survey_types\English                                                                            |          1 |          7 |          0 |          0 |          7 |
| public\images\svg                                                                                             |          4 |         13 |          1 |          5 |         19 |
| public\js                                                                                                     |         21 |      3,111 |        387 |        143 |      3,641 |
| public\styles                                                                                                 |         17 |      1,654 |        116 |         83 |      1,853 |
| public\vendor                                                                                                 |          2 |          4 |         11 |          1 |         16 |
| public\vendor\livewire                                                                                        |          2 |          4 |         11 |          1 |         16 |
| resources                                                                                                     |        173 |     21,572 |      2,004 |      4,632 |     28,208 |
| resources\css                                                                                                 |          2 |          6 |          0 |          3 |          9 |
| resources\js                                                                                                  |          2 |         24 |         10 |         12 |         46 |
| resources\markdown                                                                                            |          2 |          4 |          0 |          4 |          8 |
| resources\views                                                                                               |        167 |     21,538 |      1,994 |      4,613 |     28,145 |
| resources\views (Files)                                                                                       |         26 |        736 |          0 |        223 |        959 |
| resources\views\accounts                                                                                      |          8 |        504 |          2 |        129 |        635 |
| resources\views\admin                                                                                         |         13 |      3,186 |         26 |        674 |      3,886 |
| resources\views\admin (Files)                                                                                 |         11 |      2,955 |         25 |        630 |      3,610 |
| resources\views\admin\includes                                                                                |          1 |         25 |          0 |          4 |         29 |
| resources\views\admin\layouts                                                                                 |          1 |        206 |          1 |         40 |        247 |
| resources\views\api                                                                                           |          3 |        163 |          0 |         30 |        193 |
| resources\views\auth                                                                                          |          9 |        646 |         25 |        180 |        851 |
| resources\views\components                                                                                    |         26 |        704 |          9 |        135 |        848 |
| resources\views\layouts                                                                                       |          3 |        478 |          3 |        109 |        590 |
| resources\views\livewire                                                                                      |         33 |     13,048 |      1,922 |      2,750 |     17,720 |
| resources\views\livewire (Files)                                                                              |         27 |      8,082 |      1,300 |      1,587 |     10,969 |
| resources\views\livewire\forms                                                                                |          3 |      3,822 |        450 |        847 |      5,119 |
| resources\views\livewire\forms\edit                                                                           |          1 |        912 |         38 |        169 |      1,119 |
| resources\views\livewire\forms\previews                                                                       |          1 |      1,455 |        206 |        339 |      2,000 |
| resources\views\livewire\forms\templates                                                                      |          1 |      1,455 |        206 |        339 |      2,000 |
| resources\views\livewire\signpdf                                                                              |          3 |      1,144 |        172 |        316 |      1,632 |
| resources\views\pdf                                                                                           |          2 |        342 |          4 |         79 |        425 |
| resources\views\profile                                                                                       |         10 |        988 |          3 |        171 |      1,162 |
| resources\views\profile (Files)                                                                               |          7 |        536 |          0 |        104 |        640 |
| resources\views\profile\partials                                                                              |          3 |        452 |          3 |         67 |        522 |
| resources\views\vendor                                                                                        |         34 |        743 |          0 |        133 |        876 |
| resources\views\vendor\jetstream                                                                              |         30 |        506 |          0 |        116 |        622 |
| resources\views\vendor\jetstream\components                                                                   |         29 |        491 |          0 |        101 |        592 |
| resources\views\vendor\jetstream\mail                                                                         |          1 |         15 |          0 |         15 |         30 |
| resources\views\vendor\livewire                                                                               |          4 |        237 |          0 |         17 |        254 |
| routes                                                                                                        |          6 |        416 |         88 |        146 |        650 |
| tests                                                                                                         |         32 |      1,033 |         38 |        390 |      1,461 |
| tests (Files)                                                                                                 |          3 |         29 |         36 |         18 |         83 |
| tests\Feature                                                                                                 |         28 |      1,000 |          2 |        370 |      1,372 |
| tests\Feature (Files)                                                                                         |         22 |        827 |          2 |        300 |      1,129 |
| tests\Feature\Auth                                                                                            |          6 |        173 |          0 |         70 |        243 |
| tests\Unit                                                                                                    |          1 |          4 |          0 |          2 |          6 |
| vendor                                                                                                        |          3 |          8 |          2 |          1 |         11 |
| vendor\mpdf                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| vendor\mpdf\mpdf                                                                                              |          1 |          1 |          0 |          0 |          1 |
| vendor\mpdf\mpdf\tmp                                                                                          |          1 |          1 |          0 |          0 |          1 |
| vendor\mpdf\mpdf\tmp\mpdf                                                                                     |          1 |          1 |          0 |          0 |          1 |
| vendor\mpdf\mpdf\tmp\mpdf\ttfontdata                                                                          |          1 |          1 |          0 |          0 |          1 |
| vendor\spatie                                                                                                 |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                        |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                              |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                     |          2 |          7 |          2 |          1 |         10 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                      | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\xampp\htdocs\formshub_app\README.md                                                                        | Markdown           |         45 |          0 |         22 |         67 |
| c:\xampp\htdocs\formshub_app\app\Actions\Fortify\AttemptToAuthenticate.php                                    | PHP                |         54 |         45 |         17 |        116 |
| c:\xampp\htdocs\formshub_app\app\Actions\Fortify\CreateNewUser copy.php                                       | PHP                |         66 |          9 |         19 |         94 |
| c:\xampp\htdocs\formshub_app\app\Actions\Fortify\CreateNewUser.php                                            | PHP                |         71 |          8 |         20 |         99 |
| c:\xampp\htdocs\formshub_app\app\Actions\Fortify\PasswordValidationRules.php                                  | PHP                |         11 |          5 |          4 |         20 |
| c:\xampp\htdocs\formshub_app\app\Actions\Fortify\RedirectIfTwoFactorAuthenticatable.php                       | PHP                |         80 |         52 |         21 |        153 |
| c:\xampp\htdocs\formshub_app\app\Actions\Fortify\ResetUserPassword.php                                        | PHP                |         19 |          5 |          6 |         30 |
| c:\xampp\htdocs\formshub_app\app\Actions\Fortify\UpdateUserPassword.php                                       | PHP                |         23 |          5 |          7 |         35 |
| c:\xampp\htdocs\formshub_app\app\Actions\Fortify\UpdateUserProfileInformation.php                             | PHP                |         39 |         10 |          8 |         57 |
| c:\xampp\htdocs\formshub_app\app\Actions\Jetstream\AddAccountMember.php                                       | PHP                |         56 |         14 |         16 |         86 |
| c:\xampp\htdocs\formshub_app\app\Actions\Jetstream\CreateAccount.php                                          | PHP                |         25 |          5 |          8 |         38 |
| c:\xampp\htdocs\formshub_app\app\Actions\Jetstream\DeleteAccount.php                                          | PHP                |         11 |          3 |          4 |         18 |
| c:\xampp\htdocs\formshub_app\app\Actions\Jetstream\DeleteUser.php                                             | PHP                |         32 |         14 |          9 |         55 |
| c:\xampp\htdocs\formshub_app\app\Actions\Jetstream\InviteAccountMember.php                                    | PHP                |         64 |         14 |         11 |         89 |
| c:\xampp\htdocs\formshub_app\app\Actions\Jetstream\RemoveAccountMember.php                                    | PHP                |         34 |          9 |          9 |         52 |
| c:\xampp\htdocs\formshub_app\app\Actions\Jetstream\UpdateAccountName.php                                      | PHP                |         31 |          5 |         10 |         46 |
| c:\xampp\htdocs\formshub_app\app\Console\Kernel.php                                                           | PHP                |         42 |         12 |         10 |         64 |
| c:\xampp\htdocs\formshub_app\app\Events\DeviceRefresh.php                                                     | PHP                |         24 |         11 |          8 |         43 |
| c:\xampp\htdocs\formshub_app\app\Events\RefreshKiosksCompleted.php                                            | PHP                |         21 |         10 |          7 |         38 |
| c:\xampp\htdocs\formshub_app\app\Events\RefreshSignatue.php                                                   | PHP                |         22 |         10 |          9 |         41 |
| c:\xampp\htdocs\formshub_app\app\Exceptions\Handler.php                                                       | PHP                |         21 |         23 |          7 |         51 |
| c:\xampp\htdocs\formshub_app\app\Guards\AdminStatefulGuard.php                                                | PHP                |         12 |         43 |          9 |         64 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\AddForm.php                                                 | PHP                |         51 |          1 |         14 |         66 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\AdminController.php                                         | PHP                |        332 |         65 |         89 |        486 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\Auth\AuthenticatedSessionController.php                     | PHP                |         29 |          9 |         12 |         50 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\Auth\ConfirmablePasswordController.php                      | PHP                |         29 |          6 |          7 |         42 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\Auth\EmailVerificationNotificationController.php            | PHP                |         29 |          3 |          7 |         39 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\Auth\EmailVerificationPromptController.php                  | PHP                |         16 |          3 |          4 |         23 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\Auth\NewPasswordController.php                              | PHP                |         40 |         14 |         10 |         64 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\Auth\PasswordController.php                                 | PHP                |         21 |          3 |          6 |         30 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\Auth\PasswordResetLinkController.php                        | PHP                |         27 |         11 |          7 |         45 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\Auth\RegisteredUserController.php                           | PHP                |         35 |          8 |         10 |         53 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\Auth\VerifyEmailController.php                              | PHP                |         20 |          3 |          7 |         30 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\Controller.php                                              | PHP                |         10 |          0 |          4 |         14 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\DeviceController.php                                        | PHP                |         21 |          0 |         11 |         32 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\FormController.php                                          | PHP                |         41 |          5 |         18 |         64 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\LanguagesController.php                                     | PHP                |          9 |          0 |          8 |         17 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\PDFController.php                                           | PHP                |        119 |          2 |         31 |        152 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\ProfileController.php                                       | PHP                |         63 |         11 |         14 |         88 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\QuestionController.php                                      | PHP                |        322 |        144 |         99 |        565 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\SignPdfController.php                                       | PHP                |         21 |          1 |          8 |         30 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\StatisticsController.php                                    | PHP                |         47 |          0 |          9 |         56 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\SubscriptionController.php                                  | PHP                |        174 |          9 |         37 |        220 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\UnsubscribeController.php                                   | PHP                |         35 |          0 |         16 |         51 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\api\v01\DeviceApiController.php                             | PHP                |         68 |         25 |         15 |        108 |
| c:\xampp\htdocs\formshub_app\app\Http\Controllers\api\v01\DeviceCodeApiController.php                         | PHP                |         45 |          6 |          8 |         59 |
| c:\xampp\htdocs\formshub_app\app\Http\Kernel.php                                                              | PHP                |         43 |         21 |         10 |         74 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\AddDevice.php                                                  | PHP                |        184 |         39 |         30 |        253 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\AddQuestion.php                                                | PHP                |        767 |        108 |        175 |      1,050 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\AddTicket.php                                                  | PHP                |         60 |          1 |          6 |         67 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\AddTodo.php                                                    | PHP                |        173 |          9 |         44 |        226 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Addforms.php                                                   | PHP                |        328 |         34 |         94 |        456 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\AllResponses.php                                               | PHP                |        208 |          7 |         54 |        269 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Allforms.php                                                   | PHP                |        228 |          9 |         58 |        295 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Billings.php                                                   | PHP                |         64 |         14 |         20 |         98 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Dashboard.php                                                  | PHP                |        133 |         10 |         27 |        170 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\EditForm.php                                                   | PHP                |        687 |        142 |        181 |      1,010 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\EditMessages.php                                               | PHP                |        102 |          5 |         12 |        119 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\EditQuestion.php                                               | PHP                |        640 |        189 |        162 |        991 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\FormDetails.php                                                | PHP                |         38 |          3 |         11 |         52 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Forms\Edit\EditFormQuestions.php                               | PHP                |        687 |        142 |        176 |      1,005 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Forms\Previews\PreviewtemplateFormQuestions.php                | PHP                |        276 |         48 |         62 |        386 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Forms\Templates\TemplateFormQuestions.php                      | PHP                |        394 |        143 |         90 |        627 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Formterms.php                                                  | PHP                |        135 |         12 |         31 |        178 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Kiosks.php                                                     | PHP                |        327 |         65 |         87 |        479 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Loginform.php                                                  | PHP                |         25 |          0 |          7 |         32 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Multistepsform.php                                             | PHP                |        185 |         73 |         61 |        319 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Overview.php                                                   | PHP                |        274 |         31 |         62 |        367 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\PreviewForm.php                                                | PHP                |         44 |          0 |          9 |         53 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\QuestionsStatistics.php                                        | PHP                |        288 |         20 |         65 |        373 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\ShowResponse.php                                               | PHP                |        161 |         18 |         32 |        211 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\StandBy.php                                                    | PHP                |         73 |          1 |         10 |         84 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\StatisticsForm.php                                             | PHP                |        194 |         28 |         44 |        266 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Subscribe.php                                                  | PHP                |        151 |         15 |         41 |        207 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Subscriptions.php                                              | PHP                |        187 |         22 |         38 |        247 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\Support.php                                                    | PHP                |         42 |          1 |          8 |         51 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\ToDoList.php                                                   | PHP                |        120 |          9 |         21 |        150 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\ViewForm.php                                                   | PHP                |        172 |         25 |         32 |        229 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\signPdf\AddSignPdf.php                                         | PHP                |        316 |         48 |        101 |        465 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\signPdf\SignPdfIndex.php                                       | PHP                |         83 |          0 |         12 |         95 |
| c:\xampp\htdocs\formshub_app\app\Http\Livewire\signPdf\SignPdfTemplate.php                                    | PHP                |        150 |         15 |         32 |        197 |
| c:\xampp\htdocs\formshub_app\app\Http\Middleware\AdminRedirectIfAuthenticated.php                             | PHP                |         19 |          8 |          9 |         36 |
| c:\xampp\htdocs\formshub_app\app\Http\Middleware\Authenticate.php                                             | PHP                |         15 |          6 |          5 |         26 |
| c:\xampp\htdocs\formshub_app\app\Http\Middleware\CheckAdminPasswordChange.php                                 | PHP                |         19 |         10 |          6 |         35 |
| c:\xampp\htdocs\formshub_app\app\Http\Middleware\EncryptCookies.php                                           | PHP                |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\formshub_app\app\Http\Middleware\PreventRequestsDuringMaintenance.php                         | PHP                |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\formshub_app\app\Http\Middleware\RedirectIfAuthenticated.php                                  | PHP                |         23 |          8 |          8 |         39 |
| c:\xampp\htdocs\formshub_app\app\Http\Middleware\TrimStrings.php                                              | PHP                |         11 |          5 |          4 |         20 |
| c:\xampp\htdocs\formshub_app\app\Http\Middleware\TrustHosts.php                                               | PHP                |         12 |          5 |          4 |         21 |
| c:\xampp\htdocs\formshub_app\app\Http\Middleware\TrustProxies.php                                             | PHP                |         14 |         10 |          5 |         29 |
| c:\xampp\htdocs\formshub_app\app\Http\Middleware\ValidateSignature.php                                        | PHP                |          8 |         11 |          4 |         23 |
| c:\xampp\htdocs\formshub_app\app\Http\Middleware\VerifyCsrfToken.php                                          | PHP                |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\formshub_app\app\Http\Requests\Auth\LoginRequest.php                                          | PHP                |         52 |         21 |         17 |         90 |
| c:\xampp\htdocs\formshub_app\app\Http\Requests\ProfileUpdateRequest.php                                       | PHP                |         17 |          5 |          4 |         26 |
| c:\xampp\htdocs\formshub_app\app\Http\Responses\LoginResponse.php                                             | PHP                |         13 |          6 |          5 |         24 |
| c:\xampp\htdocs\formshub_app\app\Jobs\RefreshKiosk.php                                                        | PHP                |         23 |          2 |          9 |         34 |
| c:\xampp\htdocs\formshub_app\app\Jobs\RefreshKiosks.php                                                       | PHP                |         32 |         12 |          9 |         53 |
| c:\xampp\htdocs\formshub_app\app\Jobs\RefreshSignatueAccount.php                                              | PHP                |         22 |         10 |          5 |         37 |
| c:\xampp\htdocs\formshub_app\app\Models\Account.php                                                           | PHP                |        107 |         26 |         21 |        154 |
| c:\xampp\htdocs\formshub_app\app\Models\AccountInvitation.php                                                 | PHP                |         16 |          8 |          5 |         29 |
| c:\xampp\htdocs\formshub_app\app\Models\AccountUser.php                                                       | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\Action.php                                                            | PHP                |         22 |          1 |          5 |         28 |
| c:\xampp\htdocs\formshub_app\app\Models\ActionAccount.php                                                     | PHP                |         16 |          0 |          7 |         23 |
| c:\xampp\htdocs\formshub_app\app\Models\Admin.php                                                             | PHP                |         22 |          0 |          3 |         25 |
| c:\xampp\htdocs\formshub_app\app\Models\Answers.php                                                           | PHP                |          9 |          0 |          5 |         14 |
| c:\xampp\htdocs\formshub_app\app\Models\AnswersTranslation.php                                                | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\CategoryType.php                                                      | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\Cities.php                                                            | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\Countries.php                                                         | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\CustomQuestion.php                                                    | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\CustomQuestionTranslation.php                                         | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\DeletedAccount.php                                                    | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\DeviceCode.php                                                        | PHP                |          8 |          1 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\Form.php                                                              | PHP                |        106 |         10 |         27 |        143 |
| c:\xampp\htdocs\formshub_app\app\Models\FormTrnslations.php                                                   | PHP                |          9 |          0 |          9 |         18 |
| c:\xampp\htdocs\formshub_app\app\Models\FormType.php                                                          | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\Invoice.php                                                           | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\Kiosk.php                                                             | PHP                |         38 |         12 |          9 |         59 |
| c:\xampp\htdocs\formshub_app\app\Models\Logos.php                                                             | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\Membership.php                                                        | PHP                |          7 |          5 |          4 |         16 |
| c:\xampp\htdocs\formshub_app\app\Models\PdfFile.php                                                           | PHP                |          9 |          0 |          5 |         14 |
| c:\xampp\htdocs\formshub_app\app\Models\PdfFileTranslation.php                                                | PHP                |         41 |          0 |         12 |         53 |
| c:\xampp\htdocs\formshub_app\app\Models\Pictures.php                                                          | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\QuestionTranslation.php                                               | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\QuestionType.php                                                      | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\Questions.php                                                         | PHP                |         17 |          4 |          4 |         25 |
| c:\xampp\htdocs\formshub_app\app\Models\ResponseCategory.php                                                  | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\ResponsedCustomersInfo.php                                            | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\ResponsedQuestions.php                                                | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\Responses.php                                                         | PHP                |        170 |         20 |         33 |        223 |
| c:\xampp\htdocs\formshub_app\app\Models\SignFile.php                                                          | PHP                |         46 |          2 |         14 |         62 |
| c:\xampp\htdocs\formshub_app\app\Models\Subscribe.php                                                         | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\SubscribeItem.php                                                     | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\SubscribePlan.php                                                     | PHP                |         78 |          2 |         16 |         96 |
